repo,path,sha256,size_bytes,lines,language,category,role,inventory_scope,origin,executable_mode,shebang,static_flags,measurement_status
.,.agents/skills/yss-antdv-next-design/scripts/validate-fact-pack.mjs,f9677c2ad79562217721b11ba2107ec10717c0d18b7930d8fe743e6a715e46df,8916,168,JS,skill-script,cli,active,scripts,False,#!/usr/bin/env node,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": true}",static-only
.,.agents/skills/yss-cache/scripts/check-skill-freshness.sh,63618779f60200a278e35dff67fe0a8def5e73cb9762c8967d1d80e54171f3b7,3144,84,Shell,skill-script,cli,active,scripts,True,#!/usr/bin/env bash,"{""process_spawn"": false, ""tree_io"": false, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": true}",static-only
.,.agents/skills/yss-cache/scripts/inspect-cache-usage.sh,ac2455fa637ef7364e3a3f89f450b1db8284d1e40ef85188e83a5a45e81b9aba,3213,96,Shell,skill-script,cli,active,scripts,True,#!/usr/bin/env bash,"{""process_spawn"": false, ""tree_io"": true, ""network"": false, ""mutation"": true, ""sleep"": false, ""loop"": false}",static-only
.,.agents/skills/yss-cache/scripts/verify-cache-component.sh,99b27996511454eee5ffc447a2a50f078fba75516d1c46ee0a6b194b81d5aff8,3556,101,Shell,skill-script,cli,active,scripts,True,#!/usr/bin/env bash,"{""process_spawn"": false, ""tree_io"": true, ""network"": false, ""mutation"": false, ""sleep"": false, ""loop"": true}",static-only
.,.agents/skills/yss-ddd-scaffold-generator/scripts/first-slice-compatibility.test.mjs,ece0dec84d8d75789eaa88a3bfe548d98770482c4c91aff9f856c662e2736f6b,31852,239,JS,skill-script,test,active,scripts,False,,"{""process_spawn"": true, ""tree_io"": true, ""network"": false, ""mutation"": true, ""sleep"": false, ""loop"": true}",static-only
.,.agents/skills/yss-ddd-scaffold-generator/scripts/first-slice-verification.test.mjs,ed3ddc4cc182314ef8ae30cae054165d7ee0ab5c9f37d3054eb5c2034fd4ce1b,10101,164,JS,skill-script,test,active,scripts,False,,"{""process_spawn"": false, ""tree_io"": true, ""network"": true, ""mutation"": true, ""sleep"": false, ""loop"": true}",static-only
.,.agents/skills/yss-ddd-scaffold-generator/scripts/generate_and_verify_scaffold.mjs,facb6e4cffc7c62e5d711aa6035a5e9086efee0f54f0dc2bd29ef15b63a742ac,5170,126,JS,skill-script,cli,active,scripts,False,#!/usr/bin/env node,"{""process_spawn"": true, ""tree_io"": true, ""network"": false, ""mutation"": true, ""sleep"": false, ""loop"": true}",static-only
.,.agents/skills/yss-ddd-scaffold-generator/scripts/generate_scaffold.mjs,d9c0d687dd00194476eba96db6d2ec8b35339f612242f0e99a49a68cd775b856,36091,389,JS,skill-script,cli,active,scripts,False,#!/usr/bin/env node,"{""process_spawn"": false, ""tree_io"": true, ""network"": false, ""mutation"": true, ""sleep"": false, ""loop"": true}",static-only
.,.agents/skills/yss-ddd-scaffold-generator/scripts/run_first_slice_verification.mjs,a92466818515979ae0ff82b5c2a6a89e2197a113f5307b80bc2e352bf112ad75,12588,184,JS,skill-script,cli,active,scripts,False,#!/usr/bin/env node,"{""process_spawn"": false, ""tree_io"": true, ""network"": false, ""mutation"": true, ""sleep"": false, ""loop"": true}",static-only
.,.agents/skills/yss-ddd-scaffold-generator/scripts/run_scaffold_verification.mjs,449b3786b9c261d08e98dd4685dffec826215c1a004804652887ebe62050de6c,11974,124,JS,skill-script,cli,active,scripts,False,#!/usr/bin/env node,"{""process_spawn"": true, ""tree_io"": true, ""network"": false, ""mutation"": true, ""sleep"": false, ""loop"": true}",static-only
