label,trace,samples,median_ms,min_ms,max_ms,exit_codes,success,timeout,argv,cwd
create-yss-harness-dev-template-verify-context-contract,False,3,82.904,81.371,99.469,"1,1,1",False,False,"['node', '/Users/zhudaoming/Projects/yss-spec-project-template/submodules/create-yss-harness-dev/template/scripts/verify-context-contract', '--root', '/Users/zhudaoming/Projects/yss-spec-project-template/submodules/create-yss-harness-dev/template', '--json']",/Users/zhudaoming/Projects/yss-spec-project-template/submodules/create-yss-harness-dev/template
root-sync-skills-check,False,3,96.21,96.2,276.869,"0,0,0",True,False,"['node', 'scripts/sync-skills', '--check']",/Users/zhudaoming/Projects/yss-spec-project-template
root-update-skill-lock-check,False,3,83.979,82.582,213.954,"0,0,0",True,False,"['node', 'scripts/update-skill-lock', '--check']",/Users/zhudaoming/Projects/yss-spec-project-template
python-startup,False,3,14.931,14.744,15.293,"0,0,0",True,False,"['python3', '-c', 'pass']",/Users/zhudaoming/Projects/yss-spec-project-template
python-jsonschema-import,False,3,60.69,60.069,116.555,"0,0,0",True,False,"['python3', '-c', 'from jsonschema import Draft202012Validator']",/Users/zhudaoming/Projects/yss-spec-project-template
isolated-plan-entry,False,3,995.707,988.743,995.947,"0,0,0",True,False,"['node', '.perf-plan-entry.mjs']",/var/folders/8d/60y8vj2j0nn37t4h26zbvvhw0000gn/T/yss-perf-audit-fz0sjnsm/root
trace-plan-entry,True,1,1004.216,1004.216,1004.216,0,True,False,"['node', '.perf-plan-entry.mjs']",/var/folders/8d/60y8vj2j0nn37t4h26zbvvhw0000gn/T/yss-perf-audit-fz0sjnsm/root
isolated-verify-plan-spec-entry-scenarios,False,1,1665.04,1665.04,1665.04,0,True,False,"['node', 'scripts/verify-plan-spec-entry-scenarios']",/var/folders/8d/60y8vj2j0nn37t4h26zbvvhw0000gn/T/yss-perf-audit-fz0sjnsm/root
isolated-verify-context-reconciliation-scenarios,False,1,771.669,771.669,771.669,0,True,False,"['node', 'scripts/verify-context-reconciliation-scenarios']",/var/folders/8d/60y8vj2j0nn37t4h26zbvvhw0000gn/T/yss-perf-audit-fz0sjnsm/root
isolated-verify-lifecycle-transition-scenarios,False,1,1726.646,1726.646,1726.646,0,True,False,"['node', 'scripts/verify-lifecycle-transition-scenarios']",/var/folders/8d/60y8vj2j0nn37t4h26zbvvhw0000gn/T/yss-perf-audit-fz0sjnsm/root
isolated-verify-strategic-handoff-package-scenarios,False,1,20826.652,20826.652,20826.652,0,True,False,"['node', 'scripts/verify-strategic-handoff-package-scenarios']",/var/folders/8d/60y8vj2j0nn37t4h26zbvvhw0000gn/T/yss-perf-audit-fz0sjnsm/root
isolated-verify-frontend-delivery-scenarios,False,1,32023.312,32023.312,32023.312,0,True,False,"['node', 'scripts/verify-frontend-delivery-scenarios']",/var/folders/8d/60y8vj2j0nn37t4h26zbvvhw0000gn/T/yss-perf-audit-fz0sjnsm/root
trace-verify-strategic-handoff-package-scenarios,True,1,23475.108,23475.108,23475.108,0,True,False,"['node', 'scripts/verify-strategic-handoff-package-scenarios']",/var/folders/8d/60y8vj2j0nn37t4h26zbvvhw0000gn/T/yss-perf-audit-fz0sjnsm/root
trace-verify-frontend-delivery-scenarios,True,1,36248.43,36248.43,36248.43,0,True,False,"['node', 'scripts/verify-frontend-delivery-scenarios']",/var/folders/8d/60y8vj2j0nn37t4h26zbvvhw0000gn/T/yss-perf-audit-fz0sjnsm/root
cli-backend-verify-bundle,False,3,212.219,177.65,432.119,"0,0,0",True,False,"['node', 'scripts/verify-bundle.mjs']",/var/folders/8d/60y8vj2j0nn37t4h26zbvvhw0000gn/T/yss-perf-audit-fz0sjnsm/cli-backend
